quality,psnr,bpp
1.0,23.847719835729766,0.17432052483598875
2.0,23.85246737289321,0.17444548578569197
3.0,24.328876052177012,0.18281786941580755
4.0,25.71523728131502,0.19843798812870977
5.0,26.66210237886463,0.21743205248359887
6.0,27.495400213808953,0.2330521711965011
7.0,28.15558118355055,0.2459231490159325
8.0,28.68989394534113,0.26166822867853795
9.0,29.17976750021614,0.2769134645423305
10.0,29.54678201214977,0.2930334270540456
11.0,29.982673368843756,0.3037800687285223
12.0,30.27015502582127,0.31240237425804435
13.0,30.603931514183905,0.34176819743830056
14.0,30.86324261488601,0.3472664792252421
15.0,31.098939081795436,0.3512652296157451
16.0,31.309649026263862,0.3640112464854733
17.0,31.528236233701577,0.40112464854732893
18.0,31.827039626397095,0.40649796938456734
19.0,31.98935440051781,0.41149640737269605
20.0,32.18732692459256,0.4141205873164636
21.0,32.30711127442977,0.4176194939081537
22.0,32.4181205840604,0.42361761949390814
23.0,32.51032709232217,0.43223992502343017
24.0,32.61044232611093,0.44623555139019055
25.0,32.72475323339393,0.4978444236176195
26.0,32.98692791891972,0.5243361449547017
27.0,33.210812454617155,0.5287097781943143
28.0,33.42236239958005,0.5312089971883787
29.0,33.57030146964165,0.5335832552327398
30.0,33.72381231956352,0.5404561074664167
31.0,33.859775140658094,0.5453295845048423
32.0,33.98100751036362,0.5483286472977195
33.0,34.122196235808616,0.5510777881911902
34.0,34.180133830795825,0.5537019681349579
35.0,34.234681638730095,0.5569509528272415
36.0,34.30170810142539,0.5610746641674477
37.0,34.33619369132814,0.5643236488597313
38.0,34.40481499723853,0.5731958762886598
39.0,34.47545009401476,0.5785691971258982
40.0,34.497900665706965,0.5798188066229303
41.0,34.55522055132229,0.5843174008122461
42.0,34.57603226701655,0.5866916588566073
43.0,34.60094487943909,0.5880662293033427
44.0,34.629901535256565,0.5991877538269291
45.0,34.63392361285626,0.6099343955014058
46.0,34.66109040518047,0.6236800999687597
47.0,34.66185331898789,0.6359262730396751
48.0,34.69171197846051,0.676663542642924
49.0,34.719698455287585,0.771883786316776
50.0,34.86428467473614,0.8261168384879725
51.0,35.10882421794322,0.8451109028428616
52.0,35.5992349471187,0.8810996563573883
53.0,35.944627531937165,0.8995938769134646
54.0,36.33599194447314,0.9022180568572321
55.0,36.728882541922225,0.90446735395189
56.0,37.16681870979676,0.9079662605435801
57.0,37.601039855131646,0.9140893470790378
58.0,38.038501583458924,0.9187129022180569
59.0,38.44609812860171,0.9198375507653859
60.0,38.8915009262436,0.9212121212121213
61.0,39.4401643338971,0.9253358325523274
62.0,39.908048176070004,0.9287097781943143
63.0,40.460033555747394,0.9329584504842237
64.0,40.883298894911675,0.9373320837238363
65.0,41.38768289190243,0.950328022492971
66.0,41.94826349087501,0.9583255232739769
67.0,42.64072882984337,0.9701968134957826
68.0,43.51485456723708,0.9833177132146205
69.0,44.34043726380974,0.988815995001562
70.0,45.54328211181734,0.9923149015932521
71.0,46.76817565380649,1.0039362699156513
72.0,48.079953137319286,1.0079350203061543
73.0,49.69993014501361,1.0141830677913153
74.0,58.19022675784674,1.0229303342705405
75.0,73.27139959319548,1.0223055295220245
76.0,53.48693908588206,1.0280537332083723
77.0,49.46854864282042,1.0389253358325523
78.0,48.1592525818316,1.057169634489222
79.0,47.14015761223421,1.0626679162761636
80.0,46.33529646486814,1.0796626054358014
81.0,45.694418826539774,1.0895345204623554
82.0,44.9900309321395,1.1084036238675414
83.0,44.532857605800345,1.1936269915651359
84.0,45.533609749686754,1.2764761012183692
85.0,47.607445601200915,1.3025929397063418
86.0,51.00605809480751,1.3523273976882224
87.0,54.33853875821649,1.3665729459543892
88.0,54.155204073986894,1.390565448297407
89.0,50.76894267461279,1.403186504217432
90.0,49.351702496073074,1.4440487347703843
91.0,53.22073316470721,1.4650421743205249
92.0,54.228329955279726,1.49553264604811
93.0,52.93552102382732,1.6729771946266792
94.0,55.71459514537945,1.8208059981255857
95.0,56.96618688747226,1.9021555763823805
96.0,57.344874365134174,2.0046235551390192
97.0,58.31510679735099,2.1644486098094347
98.0,59.603359584350855,2.2522961574507967
99.0,60.68678607206741,2.59106529209622
100.0,61.76759504893792,2.9042174320524836
