quality,psnr,bpp
1.0,23.902208641160193,0.162841796875
2.0,23.902549049986845,0.162841796875
3.0,24.13898753971159,0.16943359375
4.0,25.01575803982718,0.18359375
5.0,25.931398915531254,0.2015380859375
6.0,26.678873322093942,0.219970703125
7.0,27.14266747424674,0.2359619140625
8.0,27.59204208062623,0.25927734375
9.0,27.99411592810195,0.280517578125
10.0,28.342765353054567,0.3048095703125
11.0,28.69974781734019,0.3197021484375
12.0,28.96536618313922,0.3319091796875
13.0,29.25644150914255,0.3736572265625
14.0,29.505210715153098,0.3775634765625
15.0,29.70036559210998,0.380615234375
16.0,29.851910371080926,0.4024658203125
17.0,30.06782155875615,0.46533203125
18.0,30.318685053594393,0.471435546875
19.0,30.495775365251355,0.4755859375
20.0,30.648254792495415,0.4798583984375
21.0,30.774876007557317,0.4833984375
22.0,30.88307015503837,0.4937744140625
23.0,30.960437008303728,0.5032958984375
24.0,31.05237142184407,0.5341796875
25.0,31.15668326969,0.60546875
26.0,31.420931366943286,0.644775390625
27.0,31.63594508507229,0.6513671875
28.0,31.83976635969902,0.65380859375
29.0,31.983368110197333,0.6553955078125
30.0,32.13413429788247,0.6641845703125
31.0,32.2663121106021,0.6678466796875
32.0,32.386103550737374,0.670166015625
33.0,32.52786669117078,0.6728515625
34.0,32.58107094562582,0.674560546875
35.0,32.63785055915743,0.6810302734375
36.0,32.717866205057874,0.6845703125
37.0,32.75512580951122,0.6868896484375
38.0,32.82902830782651,0.699951171875
39.0,32.88166131465431,0.70703125
40.0,32.90252181075366,0.70654296875
41.0,32.96389804168052,0.7100830078125
42.0,32.98570546819938,0.7132568359375
43.0,33.00380122472675,0.71484375
44.0,33.021627321607724,0.7220458984375
45.0,33.03000990278173,0.7359619140625
46.0,33.04210906898565,0.7618408203125
47.0,33.04560710651686,0.7889404296875
48.0,33.06526734590565,0.8553466796875
49.0,33.120759143815796,1.0059814453125
50.0,33.330306749089985,1.087646484375
51.0,33.58569061993603,1.1162109375
52.0,34.06162227080381,1.1802978515625
53.0,34.40082330235008,1.1937255859375
54.0,34.79498971879303,1.1976318359375
55.0,35.20137673159324,1.200439453125
56.0,35.65061869833029,1.2027587890625
57.0,36.06221393217667,1.209228515625
58.0,36.54938081878147,1.21337890625
59.0,36.92871157611739,1.2147216796875
60.0,37.38790635629565,1.215576171875
61.0,37.92616197832456,1.2200927734375
62.0,38.374383686239774,1.223876953125
63.0,38.92565751335657,1.2276611328125
64.0,39.38050023680803,1.2357177734375
65.0,39.88634848994678,1.25146484375
66.0,40.410219256621296,1.260009765625
67.0,41.1131885817473,1.278564453125
68.0,42.03485170103397,1.2957763671875
69.0,42.8731333807525,1.30419921875
70.0,44.25342603568687,1.312255859375
71.0,45.611517717134475,1.3218994140625
72.0,47.0478495228396,1.323486328125
73.0,48.80783264419671,1.335205078125
74.0,57.646933771630835,1.3460693359375
75.0,70.73257790724323,1.3460693359375
76.0,52.467330817552444,1.3525390625
77.0,48.31552241831552,1.3665771484375
78.0,46.92579330667122,1.388671875
79.0,45.77678766505446,1.3939208984375
80.0,44.876216241373285,1.4111328125
81.0,44.158380525187404,1.4290771484375
82.0,43.478748354220116,1.456787109375
83.0,43.01333635574053,1.5894775390625
84.0,44.088822390869275,1.720458984375
85.0,46.116342259414466,1.7598876953125
86.0,49.31694798463564,1.826416015625
87.0,52.40057537853147,1.84228515625
88.0,52.36213262425131,1.873779296875
89.0,49.20621266821868,1.8858642578125
90.0,47.863711319594664,1.940185546875
91.0,51.775897418621504,1.968017578125
92.0,53.05030914279616,2.014404296875
93.0,51.50950512890382,2.2933349609375
94.0,54.104737343223576,2.4630126953125
95.0,55.404326624473306,2.5662841796875
96.0,56.0050134140711,2.6998291015625
97.0,57.24520363415398,2.882080078125
98.0,58.72924183245761,2.953857421875
99.0,59.69834196253818,3.261962890625
100.0,60.60772079176262,3.6158447265625
