quality,psnr,bpp
1.0,23.40228813924934,0.18644628099173555
2.0,23.412148361959353,0.1868870523415978
3.0,23.993757405958004,0.1987878787878788
4.0,25.30239025091532,0.21983471074380165
5.0,26.505717873557035,0.24
6.0,27.42992502743144,0.2579614325068871
7.0,28.140881832699577,0.2741597796143251
8.0,28.68070232045884,0.2960881542699724
9.0,29.163593919077595,0.31415977961432506
10.0,29.56720032590681,0.33575757575757575
11.0,30.049344228337553,0.350633608815427
12.0,30.37212055655972,0.3623140495867769
13.0,30.76231875286662,0.39426997245179063
14.0,31.133246716132604,0.40055096418732783
15.0,31.401186429150705,0.4066115702479339
16.0,31.63767901768136,0.42446280991735535
17.0,31.875560394056283,0.47140495867768595
18.0,32.21685641282822,0.47735537190082644
19.0,32.442961850204824,0.484297520661157
20.0,32.703003584813246,0.4880440771349862
21.0,32.87598461583008,0.4928925619834711
22.0,33.016667962682064,0.5025895316804407
23.0,33.136989230075194,0.5117355371900827
24.0,33.27974775773673,0.5298071625344353
25.0,33.386407319043194,0.5835812672176308
26.0,33.70347347721328,0.61366391184573
27.0,33.93478218477568,0.6179614325068871
28.0,34.17751801278454,0.6224793388429752
29.0,34.33389367673745,0.6250137741046832
30.0,34.50638650910594,0.631404958677686
31.0,34.65996148317493,0.6381267217630854
32.0,34.810970509478366,0.6448484848484849
33.0,35.00382950355661,0.6481542699724517
34.0,35.056571151808924,0.6487052341597797
35.0,35.14686850289125,0.656198347107438
36.0,35.239144704948735,0.6629201101928375
37.0,35.27464785337872,0.665564738292011
38.0,35.37813437377164,0.6796694214876033
39.0,35.44791917145792,0.6837465564738292
40.0,35.481328384748096,0.6835261707988981
41.0,35.556940447348964,0.6890358126721763
42.0,35.57790242403118,0.691900826446281
43.0,35.614562159834556,0.6947658402203857
44.0,35.64502554355212,0.7054545454545454
45.0,35.65446546099643,0.7211019283746557
46.0,35.67184808820773,0.7393939393939394
47.0,35.6595960778415,0.7568044077134987
48.0,35.688267597467025,0.8029752066115703
49.0,35.72910827240526,0.9246280991735537
50.0,35.85171710945111,0.9692561983471074
51.0,36.08044973304506,0.9846831955922865
52.0,36.628107876107535,1.0315151515151515
53.0,36.94283820647231,1.0478236914600552
54.0,37.348428056468364,1.048595041322314
55.0,37.720592635465025,1.0520110192837466
56.0,38.183857838978156,1.0558677685950413
57.0,38.58843833487442,1.0621487603305786
58.0,39.04873114583911,1.069090909090909
59.0,39.39596425432774,1.070413223140496
60.0,39.81463508389661,1.071404958677686
61.0,40.3319182277903,1.0761432506887052
62.0,40.773143487145035,1.080220385674931
63.0,41.27934766187869,1.0880440771349862
64.0,41.659696309205465,1.0948760330578513
65.0,42.145551328681194,1.1099724517906335
66.0,42.62143169854177,1.1188980716253443
67.0,43.17654533129897,1.1307988980716253
68.0,44.00210406036515,1.147107438016529
69.0,44.658121865406656,1.1536088154269972
70.0,45.780704330452025,1.1595592286501377
71.0,46.866635928322104,1.1724517906336087
72.0,48.1812244761809,1.1774104683195592
73.0,49.50216637867556,1.1860055096418733
74.0,57.84379181161336,1.1960330578512397
75.0,65.71583275886668,1.1960330578512397
76.0,53.352219499361986,1.2044077134986226
77.0,49.428151444477564,1.218732782369146
78.0,48.44468785822719,1.2387878787878788
79.0,47.504569447275884,1.2487052341597795
80.0,46.94341159680262,1.2666666666666666
81.0,46.397094519714415,1.2826446280991735
82.0,45.86409458287167,1.3056749311294766
83.0,45.59896606824513,1.4202754820936638
84.0,46.5222835622459,1.495426997245179
85.0,48.24419463702608,1.5288154269972452
86.0,51.213730963604306,1.5869972451790633
87.0,53.79396464980584,1.6014325068870523
88.0,53.883921708920525,1.6354820936639118
89.0,51.20753083698207,1.6528925619834711
90.0,50.24691860509466,1.697961432506887
91.0,53.43806196996476,1.7214325068870524
92.0,54.016879382939855,1.766611570247934
93.0,53.67677749055506,1.967052341597796
94.0,55.61780750699065,2.126060606060606
95.0,57.13974525841163,2.215206611570248
96.0,57.407828528531965,2.3315702479338842
97.0,58.67837007584117,2.491900826446281
98.0,59.84264285428847,2.5666115702479337
99.0,60.5827729294885,2.8882644628099174
100.0,61.15308411034838,3.230413223140496
